,trial,asym_a,asym_s,sym,total
0,T1,1,1,0,24
1,T2,6,6,10,24
2,T3,3,3,1,48
3,T4,7,9,14,48
4,T5,9,10,16,48
5,T6,10,11,13,48
6,Tot,70,70,100,240
