,trial,asym_a,asym_s,sym,total
0,T1,0,0,0,70
1,T2,24,24,22,70
2,T3,6,3,8,140
3,T4,41,44,41,140
4,T5,43,44,42,140
5,T6,40,36,34,140
6,Tot,240,240,220,700
