,trial,asym_a,asym_s,sym,total
0,T1,1,1,0,12
1,T2,4,4,4,12
2,T3,3,3,0,24
3,T4,6,6,4,24
4,T5,5,6,4,24
5,T6,7,8,4,24
6,Tot,40,40,40,120
